Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;;
A11BKLWVWL7Q2J;972683275;Margie;[0, 1];"It works great for our 42&#34; TV. It was very easy, It only took my husband and I about 30-40 minutes to install.";5.0;Works Great!;1382486400;10 23, 2013;;
A11D842ZBM7QAD;972683275;jason;[0, 0];I looked at similar wall mounts at walmart & they were $125.  I was skeptical of this because it was so much cheaper, but my prior experience with amazon pushed me toward giving it a shot.  It's a solid piece of hardware - heavy gauge metal.  It was definitely higher quality than I would have expected for the price.  It's been on the wall a few months now with zero problems. Good product, great price!;5.0;great price!;1298678400;02 26, 2011;;
A11EKN3A8FUEDC;972683275;Sergio E;[0, 0];Sturdy and durable craftsmanship. Bought for my grandma in Mexico, had it installed and works great. Has awesome mobility to enjoy your television from countless angles in your room.;5.0;Works Perfectly;1366416000;04 20, 2013;;
A11IFJDOZ0T6Z2;972683275;MT;[0, 0];The mount works, but it is unrefined compared to other brands out there. Purchased because it was on sale. just ok.;3.0;just ok;1358640000;01 20, 2013;;
A11NLVWA0MTSGH;972683275;Greg G. Corkins;[12, 16];This is an exceptional tv wall mount. It is very easy to install. It comes with a variety of screws to match the back of the television. The mounting screws are improved and very adequate. It took longer to decide where to place it than it did to actually install the mount and television. The center of the two arms separate, making it very easy to hang and attach the television.  It is a great value and a quality product. Please be sure the hole pattern options match the tv set.;5.0;Excellent product;1284854400;09 19, 2010;;
A11NR4AJK9TNQM;972683275;"jaldeborgh \jaldeborgh\""""";[0, 0];"I am impressed with the solid design of this TV Wall Mount.  I think this weights more than the 26\ TV it is supporting.  It also has lots of logical adjustments so leveling the TV isn't too difficult.  The one semi negative is that it takes a fair amount of force to reposition the TV.  This does assure the TV stays put but if you plan to move the TV on the stand a lot this may be a negative.  Overall I am pleased with the stand - it seems like a good value.""";4.0;Solid Design - Adjustable;1311552000;07 25, 2011;;
A11SX0QI0EFZY0;972683275;Guillotine20;[1, 1];"Bought this for a 55\ Samsung Smart TV, and oh man, it's fantastic! I installed it without using a powerdrill, but I recommend using a socket wrench and most certainly a stud finder of some sort. Very easy-to-understand instructions.""";5.0;Oh man, this thing is great!;1384041600;11 10, 2013;;
A11X5KB2AFYGBX;972683275;MugalunchProd;[0, 0];Great product even for double or triple the price. Smooth articulation and solid craftsmanship. And it comes with e erything you Could need to get going. I'd happily but it again!;5.0;Excellent product!;1360627200;02 12, 2013;;
A11XEQWME3DHFF;972683275;"Dennis L. Bacon \CampingGeek\""""";[0, 0];mounted correctly the first time - very easy - good support - would recommend to all - lots of features;4.0;As listed;1358899200;01 23, 2013;;
A11YUH1WVD236C;972683275;joe;[0, 0];"I purchased 2 mounts a few days apart. They were both VideoSecure and were the same price.  I purchased this one 2nd thinking it was the same as the 1st, but it wasn't.  This isn't a bad mount and was easy to attach to the wall.  However, most Wall Mounts let you detach the plate that screws into the back of the TV.  This one doesn't; so once you attach to the wall you have to hold up the TV and have a 2nd person screw it on from the back. Not a  big deal, but most others including the 1st one I bought let you do this.Here's the other model.  Buy it instead!!VideoSecu LCD LED TV Wall Mount Full Motion with Swivel Articulating Arm for 23-37, up to 42 in TV Flat Panel Screen With VESA 200 100, 20 in extension and Post-installation Leveling System A35by VideoSecu";3.0;Nice but difficult to mount TV to stand;1336694400;05 11, 2012;;
A11ZP93TJED4T6;972683275;Ryan;[1, 8];The fact that the pivot point on this TV mount was not built straight caused the TV to tilt slightly when it was swung out.  there is no adjustment for it, so i had to make a choice for the tv to either be straight and level when it was pushed against the wall, or when it was out.  i do not recommend this wall mount.to it's benefit though, it was reasonably sturdy and easy to install.;2.0;poor manufacture quality..;1285891200;10 1, 2010;;
A120ULF73SUTI9;972683275;"J. W. Kennedy \kennedy610\""""";[2, 2];Warning, Do your homework before ordering a tv wall mount!!Mom and dad bought a 32 inch Seiki TV and needed it angled on the wall for optimum viewing. That is where I the eldest son came into the picture(pun intended).I knew in advance the location had plywood backing behind the drywall, which meant this mount would be easy to install as wood screws would be secure anywhere on the wall. But what if it was a typical installation, would there be a stud in the wall centered where needed to hold the tv and mount securely? It seems unlikely most people would, so what are the options?Option #1. Buy a different mount with a mounting plate rather than small 2 hole bracket as on this model. If you don't know what I am talking about, look at other tv wall mounts and you will see on many of these a large wall plate that can easily cover an area with at least one stud, and addtionally allow drywall anchors elsewhere on the plate to handle the weight of any tv. This model has only a small wall bracket with holes for 2 screws or anchors.Option #2. Use wall anchors. Again, there are only 2 holes in this bracket so take into account the weight of the tv and the rating of the anchors. Proceed at your own risk.Option #3. Install a stud. You're on your own with this...The mount is well made, everything fits and it looks good but as mentioned, a little homework will save you time and make installation easy.I hope this review is useful. :-);4.0;Well made, Excellent Value;1363305600;03 15, 2013;;
A123IFV7Z2V1DU;972683275;John C Bonfield;[0, 0];"I am usually leery of &#34;universal&#34; tools of any kind, but this one actually worked pretty well. Sturdy, fairly easy to figure out how to install it (I am one of those guys that never wants to read the directions) so, I am happy with th emount.If only the TV was as good.";4.0;Better than the TV it holds up.;1394409600;03 10, 2014;;
A12AU3CNAWYO5D;972683275;bonbon;[0, 0];Didn't think it would work as well as it has,because the metal was a lighter guage thanwe expected, but it hardly deflected from theweight of the TV, even extended straight out.;5.0;Works like a charm so far;1356220800;12 23, 2012;;
A12CEA80W6MZL3;972683275;Paddy;[0, 0];Fit my TV perfectly, a snap to install on both TV and wall. I can now watch my TV at any angle I please;5.0;Easy installation;1374883200;07 27, 2013;;
A12JT6X3FXE06J;972683275;John Coleman;[0, 0];"You can't get a better bracket for the money.  Actually worth twice as much. Easy to install.  All necessary parts included.  I mounted my 32\ TV in 1/2 hour.  It's easier if you have someone to help you, but you can do it yourself.  I believe the instructions say to install the entire bracket to the wall and then attach the TV.  I separated the part that attaches to the TV and then only had to secure one bolt to the arm which I believe is much easier.  Overall, this product is better than advertised.""";5.0;Great Product;1331769600;03 15, 2012;;
A12LBD1IJ8M99Y;972683275;Ryan Roche;[0, 0];"I won't lie, I bought this mount for the price. It fit well on my 40\ Samsung led. It is very adjustable and once you get everything snuged down, it's quite secure. I gave it 4 stars because it sticks out way farther then what I would consider a \""slim mount\"" and the arm location interferred with the video wires on the Samsung do I had to swing the arm the other direction which is less desirable for my setupAll and all I would buy again""";4.0;Good. Not perfect.;1371340800;06 16, 2013;;
A12PFARGH9ELDI;972683275;G. Kelly;[0, 0];For the price.....can't be beat.  I have two TV's hanging in the living room.  No issues, easy to hang.  I would recommend to a friend.;5.0;For the price, can't be beat.;1377734400;08 29, 2013;;
A12UKHYCFT8J5N;972683275;"Thomas J. Zaleski \thomascapital\""""";[0, 0];We purchased a new flat screen for our son at Christmas from Wal Mart.  Great TV.  The stand was $130.  This stand/mount was 1/4 the cost and works GREAT. EASY to install.  NEED two people.;5.0;Great product;1337040000;05 15, 2012;;
A12XCRHPREC51Y;972683275;DnP;[0, 0];"Only gave this four stars because it's only supporting a 32&#34; TV. I think I would be scared to mount a 55&#34; TV on it. If you sprang for a 50&#34; or bigger TV, spend a little more on a properly rated mount. As with any TV mount, make sure you're hitting wall studs with the main screws, don't just use anchors in drywall or you're asking for trouble. LOTS of hardware included in the kit, so mounting any style or brand of TV shouldn't be a problem.";4.0;Nice mount for the money.;1371427200;06 17, 2013;;
A12ZCHX2T8Z952;972683275;Federico;[0, 0];I really like this TV Wall Mount.  Is strong, compact, flexible and comes with everything you need (except tools of course). You get more than enough for the price. I definitely recomend it.;5.0;Great product!;1326153600;01 10, 2012;;
A133UR2OC00VKB;972683275;robert;[0, 0];This was a great product this was the second wall mount we have ordered and both have worked out great! Will order again in the future!;5.0;gREAT pRODUCT;1369872000;05 30, 2013;;
A13BWQDECDDVIZ;972683275;D. Jacobs;[0, 0];I'd never bought one of these, mainly due to the high prices in the retail stores.  I hadn't looked online much, and hadn't really needed a monitor mounting device until recently.This thing is well built, and it does the job.  It's not fancy but if you are just looking for an inexpensive way to hang a monitor (TV or PC) on the wall this will do the job.  It comes with a nice bag of heavy-duty hardware.  It is primarily designed for mounting TV sets, but you can get it to work with a PC monitor, as long as it has the VESA mounting.It mainly articulates side-to-side and in-and-out.  It'll pivot a bit up and down, but that's limited.;4.0;VideoSecu;1296950400;02 6, 2011;;
A13M65IGNEQXW1;972683275;James;[0, 0];"I bought the uint for a 32 &#34; Tando.  I couldn't get the parts to line up so I bought another fixed type.";3.0;Didn't fit as I expected;1359158400;01 26, 2013;;
A13RY3NRZ3G4B4;972683275;William Sloan;[0, 0];Product was easy to set up works very well. Product was a real good value.Product is very sturdyand well constructed';5.0;Easy to use;1362528000;03 6, 2013;;
A13S3RBHK5T968;972683275;buckle10;[0, 0];This product was easy to install and fits a wide variety of tv's. It is built with heavy duty materials and not flimsy plastic. It is a great buy.;5.0;Awesome;1370563200;06 7, 2013;;
A13VY1C3HIGVRP;972683275;Satisfied;[0, 0];Go to a big box store and price this device , then come back here and buy it. I couldn't find ANY better deal and once I received the device I was even more impressed with the quality. It even has multiple kinds of mounting hardware so no need to go to  a hardware store, because your TV is unique.;5.0;Nice item for the price.;1333756800;04 7, 2012;;
A13W1XKMRMF43T;972683275;Haddock;[0, 0];Good price for compared to others from other stores it went up easy and have had no problems with it everything that it states it does it does and it saves a lot of space.;4.0;Review;1314057600;08 23, 2011;;
A142B3JN06ZBOD;972683275;Luis Gutierrez;[0, 0];Did the job for my led tv! great support for my 40 inch tv. no problem with installing it either;5.0;Great product!;1366156800;04 17, 2013;;
A143ONYTRZY3SF;972683275;Daboss;[0, 0];This item is heavy duty , easy to assemble and great for the price. The instructions were plan and simple. This a wonderful product to purchase.;5.0;Awesome;1357344000;01 5, 2013;;
A1463ASM7QMU2I;972683275;"Kazap \Steeler Fan\""""";[0, 0];I have 3 swivel mounts and this one is not the best. If you don't use the swivel feature frequently or don't place it where it may be bumped it will do the job. I prefer the strength and stability offered by mounts which have TWO arms extending from a longer wall bracket. These more stable brackets can be found at similar or slightly higher prices. Also look for a feature which allows the TV Bracket (and TV) to be lifted off the swivel arm more conveniently.;3.0;It's OK;1326412800;01 13, 2012;;
A14C5D25SZWFLX;972683275;Chanda S. Burkey;[0, 0];Great bracket for the money. Easy to use and install. I have it above a chair in the basement, so it's been very reliable;5.0;Videosecu;1386633600;12 10, 2013;;
A14ERDBXQVVYI3;972683275;Rhonda;[0, 0];This tv mount arrived on time, was easy to install and seems very durable.  I would not hesitate to purchase another one.  You will save alot of money by purchasing this mount, opposed to one in your local store(s).;5.0;TV Mount;1361577600;02 23, 2013;;
A14EXDNXP360ZE;972683275;"Reviewer \Entrepreneur\""""";[0, 0];This product was purchased as a gift. It is very well built and gave my brother no issues with installation.;5.0;Nice Gift I purchased;1294704000;01 11, 2011;;
A14GJVRNRLDG84;972683275;michael wade;[0, 1];I bought this for a gift for a friend.  They liked it so much that I decieded to get one for myself.;4.0;this was a gift;1365811200;04 13, 2013;;
A14HG36I5AKTVF;972683275;"M. Clark \urban folkie\""""";[1, 2];"I bought this for my 55&#34; Samsung LCD LED TV. I mounted it on a wall and intended to use it extended to 180 degrees. At the 180 degree extension, there is very noticeable tilt, which gets worse each day, until the TV is tilting sort of comically. If you are just using it to watch a TV &#34;head-on&#34; the tilt probably won't matter to you, but if you are using it at any sort of angle for a large TV you will have the tilt problem. The arm is simply not designed properly to handle the 180 degree extension.Also, if you are new to this TV mount thing, note that this VESA 400 compatible mount will not necessarily work for your VESA 400 compatible TV. I discovered that not all VESA 400 mounts work with all VESA 400 TVs. I had to &#34;improvise&#34; to get this mount to work and could not use any of the mounting configurations in the instruction booklet. This problem had no bearing on the &#34;tilt&#34; problem described above. I don't really understand what the point is of listing VESA compatibility when it doesn't seem to actually indicate compatibility, but there must be some tech guru who has a complex and useless explanation for it somewhere.Otherwise, the installation was fairly easy. In about two hours I was able to get this attached to my wall, where it immediately began it's slow drooping progress toward the floor. I wish I had just kept the TV sitting on a table.";2.0;Not strong enough for a 40 lb tv;1360281600;02 8, 2013;;
A14J537H58XBYV;972683275;rickas;[1, 2];Now that it is installed it is fine.  But installation was a pain.  Unlike other similar low priced mounts, this does not have a separate plate that you mount to the TV then mount to the bracket.  You have to hold the TV up in position, align with bracket holes and start screws.  Try that on ladders 6 feet in the air,  with a 40 or 50 pound TV.  I bought some screws of proper size, cut off the head and used 2 as locating guides to get screw holes aligned.  Started 2 screws then replace my starter studs with screws. Made it easier but NOT easy.  Also adjustment is very difficult with TV installed.  Weight of TV binds the adjusting bracket when you loosen set screw.  I would NOT recommend this mount there are better choices.  I got an OMNIBasics OBFM60 mount for a similar price ( on clearance) and it was 5 STARS compared to this.;1.0;HARD TO MOUNT;1357171200;01 3, 2013;;
A14O9P3DV5EHKO;972683275;E. Solch;[0, 1];"I had to use a hacksaw to cut away part of this to hang my 24&#34; LED TV in my bedroom. Other than that, seems to work fine.";3.0;"A little big for 24&#34; TV's";1359331200;01 28, 2013;;
A14R4K86STZFD2;972683275;RussiaDad;[0, 0];"I was hesitant about mounting my larger flat screen (47&#34; LG) onto the wall - what happens if it falls off!  After looking at mounts at Target and Best Buy that were $100+, would this possibly work?Fast forward...  The mount took about 20 minutes to install (too longer to locate the studs than mount it).  The TV is on the wall and works wonderfully.  Very solid mount and good articulation.My only comments are the cord clips included are very weak.  I will be replacing them with black cable ties.  Also - they do need to have a second locking screw where you hang the TV on the articulating mount - I can wiggle my screen (tilt) by about 1/4&#34; since there is only a screw on the bottom.Overall, I liked the narrow wall mount and the 20&#34; extension.  Definitely would recommend for a TV that is 47&#34;.";5.0;"Great mount for my 47\ flat screen""";1375833600;08 7, 2013;;
A14RTWD2KSOEOD;972683275;INF.ENT;[0, 0];"I just bought a 51\ Samsung 3D plasma and needed a swivel mount that was built sturdy enough to pacify my concerns. Easy install. Wrks GR8T!! I RECOMMEND.""";5.0;I RECOMMEND.;1366156800;04 17, 2013;;
A14V89LNZUNDVX;972683275;"Joseph B. Montero \JoeOnTheGo\""""";[0, 0];Bought three of these for a restaurant/bar.  Received the product in great condition.  Was a breeze to install.  My television is very light so I can not comment on using it under a heavy load.  Arm swings easily and stays where I put it.  Very happy with this purchase.;5.0;Easy Install, Great Produce;1297641600;02 14, 2011;;
A14V9YT3C4QRPW;972683275;ammochuck;[0, 1];I bought 2 of these for about half of what it costs for one in a retail store. It works great and easy to install.;4.0;Great price with no shipping costs;1366156800;04 17, 2013;;
A14ZMA7222WU6F;972683275;Jaymann55;[0, 0];Ordered this for my Daughters room and love it more than the others I have bought for twice as much money!! Easy to install and rock soild!!My only issue would be that you have to lift the TV up to the mount and get it screwed into the mount.. (takes 2 people);5.0;Love it;1341878400;07 10, 2012;;
A153SN02P05UXE;972683275;ewilkinson83;[0, 0];We have a 32 in flat screen that need to be hung and angled because of the ways our walls are and this did the job super well!;5.0;Works great;1391731200;02 7, 2014;;
A156MPSDULFFO5;972683275;Al L. Angel;[0, 0];"This is a very good product and it does what is says it does.  Seems well constructed and easy to install.  I do not have the \sagging\"" issue that some have reported.  It adjusts easily for proper angle for viewing.  I am overall please with the product and I do not hesitate to recommend it.""";4.0;Very satisfied with this Bracket;1311292800;07 22, 2011;;
A15FPN5N8TI3Q8;972683275;Adam Wray;[0, 0];This is probably a good mount for lighter, smaller TVs, I just didn't trust the weight rating it noted.  My LCD is 60 lbs. and I didn't even finish unboxing this before I starting searching for another one.  Very thin, light metal that ended up costing me $11 in return shipping.  Spend a few bucks more and get a heavier mount like http://www.amazon.com/gp/product/B001TICH08/ref=cm_cr_ryp_prd_img_sol_1;3.0;Probably good, just didn't trust;1361059200;02 17, 2013;;
A15K7HV1XD6YWR;972683275;Musawir Karim;[5, 7];"I consider myself to be a good DIYer. I've installed mounts for my 2 Samsung 46\ and 55\"" LED TVs with no problems for 5 years. So, for this VideSecu mount, inspite of poor installation instructions, I carfeully measured all domensions to fit my new 32\"" Samsung LED SmartTV in a limited kitchen space. My mistake was, based on the diagrams, I assumed that the length of both the swinging arms of the mount (the single and the double arms) were of the same length. What a disaster! After installing the mount when I mounted the TV and folded the arms the TV did not center itself to the wall side of the mount! It was then that I noticed the inner length of the 2 arms is about 4\"" longer than the outer single arm. In other words once the arms on the mount were fully folded in towards the wall my TV was not centered in the limited space that I had and looked awful. I don't know why the manufacturer did not keep both arms the same length. At least they shd have mentioned it in the instructions.This to me is a major product defect. Luckily with Amazon I was able to return this mount but had to pay return S&H";1.0;Beware the TV will not center....folding arm lengths not same;1360713600;02 13, 2013;;
A15O3ILEHFZB1A;972683275;Steve;[0, 0];"This mount was a good price and it works great and was easy to install. I just purchased a 32\ flat screen and it holds it with no problems.  I recommend this mount.""";5.0;TV mount;1329955200;02 23, 2012;;
A15RAS3OFAW410;972683275;ROCKWALL;[0, 0];;4.0;Construction modification;1293667200;12 30, 2010;;
A162MNFD5CGQ03;972683275;tomes275;[0, 0];It does the job and it wasn't too hard to install so i'm a happy tv viewer. Nothing bad to say about it. Came with a bunch of bolt options for different make and model TV's;5.0;Works well, fairly easy to install;1392768000;02 19, 2014;;
A167ZKQMOK3QVQ;972683275;Melissa Holder-Utkovic;[0, 1];Easy to install...as described.  Makes it easy to see tv from anywhere in the room. Would buy this item again.;5.0;Perfect;1360972800;02 16, 2013;;
A169I9NKC6INSF;972683275;tommyboy;[0, 0];"Not sure what to add except that is holding a vizio 48&#34; tv just great and allows us to move it around for viewing angles.  I would definitely buy this again.";5.0;It just worked;1374796800;07 26, 2013;;
A16A92HECD45KG;972683275;sleepyguy332;[0, 0];"I am extremely happy with this product and this entire purchase experience.  I bought a 32\ LCD TV at Walmart and was shopping for a wall mount.  I searched everywhere, including Walmart but found that the fully articulating type that I wanted was $100 or more...everywhere.  I searched Amazon and found exactly what I was looking for...for 25 bucks!!!  Shipping was awesome...fast and free...killer bargain and killer product.  I liked it so much I bought another for the bedroom, I remove the top screw and can move the TV (with the bracket still on the back) from the bedroom to the poker room.  Very, very satisfied with everything about this purchase, the product, the delivery, and Amazon...I will never buy anything at a brick and mortar store before searching Amazon.""";5.0;Exactly what I wanted for a 1/4th of the price!!!;1306022400;05 22, 2011;;
A16M85PZ9OVE9R;972683275;TheDudeAbides;[0, 0];"This stand holds up my hefty 40&#34; LCD TV quite well. I bought this mount because the new place I moved into built the studs too far apart for my other mount. This item seemed a little questionable, but I went with it because of the reviews. I'm glad I did! It isn't the sturdiest piece of equipment, but the TV doesn't sway around by itself and I'm not worrying about it whenever I leave the apartment. I don't know how well it would stand up to being run into or being in an earthquake, but then again if those are potential issues then maybe a wall mount isn't too ideal in the first place! The only thing that is a little inconvenient is the arm length. It will hold the TV out quite a ways from the wall, but it has trouble keeping the TV centered on the mounting stud while it's mostly compressed to the wall. Besides that, very good item.";4.0;Totally adequate;1376956800;08 20, 2013;;
A16PP857J4AKLB;972683275;J.J. Espinosa;[0, 0];This is the second VideoSecu mount I've purchased. Both were easy to install and show solid build quality, with no issues;5.0;Great poduct;1375315200;08 1, 2013;;
A16Q3CV7TCFO4E;972683275;GMpower;[0, 0];The product seems to be of high quality.  The only problem I had was it covers some of the TV outputs to mount to the tv.  The problem could lie with the TV manfacturer. The TV Model is VIZIO E260MV 26-Inch Class Edge Lit Razor LED LCD HDTV .  I solved the problem with a metal cutting saw and some bracket modifications.  I am reasonably sure most people do not have this option, so care should be used when purchasing one or the other.;3.0;doesnt fit all TV's;1326153600;01 10, 2012;;
A16W4IDX9O70NU;972683275;Julie Shelstad;[0, 0];It's been great.  I would've given it 5 stars, but it was a little cumbersome to put up.  Other than that, we love it :);4.0;Works great!;1383868800;11 8, 2013;;
A16WXV8ANSR36O;972683275;ltuckk;[0, 0];This is my 3rd time purchasing this item. I love that it is adjustable to fit several models of televisions, sturdy, and will tilt and turn like you want/need it to. Have recommended it to anyone who is buying a flat screen tv, though many folks are impatient and cannot wait for it to arrive in the mail, which doesn't take that long. (You can always set it up on the self-contained stand until the wall mount arrives in less than a week.)They want their tv up NOW and purchase a more expensive wall mount that does LESS. Then when they see mine, they always say they should have listened to me.;5.0;Third time's a charm!!;1393977600;03 5, 2014;;
A16Y72DRF7ITNB;972683275;MRD_EE77;[9, 14];"Do not buy this for the Haier L32D1120 32\ TV. It is not compatible with that TV. However, you can purchase \""VESA adapter plates\"" for it. The Haier TV seems to require VESA 400x200, and this mount is only VESA 200 x 200.""";3.0;"Do not buy with Haier L32D1120 32\ TV !!!""";1321056000;11 12, 2011;;
A171QI6IDL6T5J;972683275;M. F. Martischang;[0, 0];"Shipped promptly; exactly as advertised; well-made; perfect fit for our 32\ LED HDTV";" REASONABLY PRICED!  Anyone who can locate a wall-stud, read a level (included, no less!), run a drill, and turn a wrench clockwise should consider this wall-mount solution.""";5.0;The Perfect, Reasonably Priced Solution;1321833600;;
A1743UQ12BFP3F;972683275;L. S. Pelch;[0, 0];This is the second articulating TV mount I have ever purchased. The first cost a hundred bucks and I had to put it together myself. It took a couple of hours.This one was twenty five bucks and took ten minutes start to finish.If everything I bought was as good as this I would start to think life is fair. jk;5.0;best deal on earth;1340409600;06 23, 2012;;
A174LMEP27Q3H9;972683275;MichaelJ;[0, 1];I order all my mounts from Amazon for price and quality.  This is mount #4 and is the best. It comes fully assembled except for extension brackets if needed and already tensioned.  Very good quality and build. This my favorite mount!!;5.0;Awesome Mount!!;1387670400;12 22, 2013;;
A17BX6ISOLKLXM;972683275;Amazon Customer;[0, 0];It is a really nice mount for the price.  I hung a 32' Vizio TV with it and it is working well. I would not go any larger then this TV.  I had to buy machine screw at the hardware store to fasten the mount to the TV.;4.0;Screen mount.;1294617600;01 10, 2011;;
A17D7RRY5F6Q6E;972683275;Alan Murray;[1, 1];"Ordered this for a 39&#34; Insigna in the den, good quaility works great.  The only problem I had was that the bolt/hole pattern would not match up correctly.  With just a little creative thinking and only the items in the package I was able to make it work out.  For the price it was a deal have no worries about it at all.";4.0;Good for the price;1369267200;05 23, 2013;;
A17EAU0WHA1A4N;972683275;Harold Hutton;[0, 0];Couldn't have been easier. Very easily adjusted. My TV was a 200X200 VESA, so I didn't have to use the extension arms.;5.0;Easy;1374624000;07 24, 2013;;
A17FC0RVHNBRP8;972683275;tanyamcg;[0, 0];"Was nervous about spending so little on this device when others in stores are so expensive.I used it on a 32\ flat screen and it worked PERFECTLY...never again will I spend the bigbucks for one of these again.""";5.0;perfect;1341792000;07 9, 2012;;
A17PJXD7YBSD8F;972683275;Duane E. Fairbanks;[0, 0];Very impressed with the quality and surprised by the price. Purchased three for flat screens. The largest is a 55 inch Samsung !;5.0;I like em;1390780800;01 27, 2014;;
A17S5ODXALEGVP;972683275;"AC \daddy-o\""""";[0, 0];pros: fairly easy to install especially with the included tools.  Comes with various boltscons: the lag holes and bolts are too wide to fit a 2x4 stud with the center holes lined up with the center of the stud.  I would have been better if two of the three on the top and bottom were straight in to the stud and the other toenailed.  If you try to toenail the two on the bolts into the stud, they end up running into each other.;5.0;exactly what we needed and serves the purpose;1325376000;01 1, 2012;;
A17TBWDFNK675R;972683275;Friggenfatty;[3, 3];So I'm not an expert but i do like my gadgets. I asked for this wall mount as a Christmas present for my bedroom. it was very simple to put up. it holds my 32 inch Vizio tv with no problem whatsoever. the mount itself is made very well made and i am really happy with this product. oh, the price was a very big factor. Great price and a great deal also comes with a hdmi cable and a level.;5.0;Great Deal;1325116800;12 29, 2011;;
A17VYZM1SAX9BR;972683275;Juan;[0, 0];This is great for the price and actually even better then expensive ones. I bought this for my 55in RCS and fit like a glove. Also, the instructions very easy to read and set up. I was able to hang my TV in less then 15 min. I am buying again for my addtional living room. For the price you cannot beat people.;5.0;AWESOME;1363910400;03 22, 2013;;
